id,d,t,c,st,sd,rid,av,sv,ch,md,dr,os,cap,wid,ctx,ov,ep,tp,eb,ea,es,sh,srq,sfl,b5,cs,fee,te,ts,v30,v60,du,dd,eds,ods,drt,ma,sg,sgv,sge,sgd,sgs,sgt,sgb,td,hsd,fp,ff,why,er,xp,xb,xa,xs,tx,hd,pnl,pp,maxb,minb,ttmax,ttmin,tfp,sc,hc,mfe,mae,pnp,tnp,sx,status
2023,2026-04-16,16:47:44,doge,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.52,0.5800000000000001,0.49,0.52,0.030000000000000027,19.0,19.0,19.0,0,9.88,0.0355104,-0.11319201481786272,2026-04-16T16:45:00+00:00,0.052,,,-0.22,7.950000000000001,7.8,1.0192307692307694,counter,84.22,35.0,17.5,9.94,2.5,9.56,9.73,0.06000000000000005,7.8,7.950000000000001,135.106857,profit_target,0.6,0.6,0.61,0.010000000000000009,0.8502271999999993,,0,0.0,2026-04-16T16:47:47.333404,132.838495,0.6,0.58,2.430001,1,1,Lead-lag DOWN @0.520 vel=-0.216%,0.07999999999999996,0.0,0.8502271999999993,1,0,
2022,2026-04-16,16:47:44,eth,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,eth-updown-5m-1776357900,lead_lag,0,0.52,0.5800000000000001,0.51,0.52,0.010000000000000009,19.0,19.0,19.0,0,9.88,0.0355104,-0.10070796841041274,2026-04-16T16:45:00+00:00,0.052,,,-0.1,126.9,20.68,6.136363636363637,counter,84.56,35.0,17.5,15.0,7.5,9.56,0.0,0.06000000000000005,20.68,126.9,135.121351,profit_target,0.63,0.63,0.64,0.010000000000000009,1.4296664,,0,0.0,2026-04-16T16:47:47.280545,132.894541,0.63,0.53,2.377261,1,1,Lead-lag DOWN @0.520 vel=-0.100%,0.10999999999999999,0.0,1.4296664,1,0,
2021,2026-04-16,16:47:42,sol,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776357900,lead_lag,0,0.6,0.6599999999999999,0.59,0.6,0.010000000000000009,16.0,16.0,16.0,0,9.6,0.0334368,-0.08109360518998283,2026-04-16T16:45:00+00:00,0.06,,,-0.13,9.15,6.3,1.4523809523809526,counter,75.8,35.0,7.5,11.44,7.5,9.74,4.62,0.05999999999999994,6.3,9.15,137.166974,profit_target,0.7,0.7,0.74,0.040000000000000036,1.0815999999999997,,0,0.0,2026-04-16T16:47:45.313756,134.864361,0.7,0.64,2.463552,1,1,Lead-lag DOWN @0.600 vel=-0.127%,0.09999999999999998,0.0,1.0815999999999997,1,1,
2020,2026-04-16,16:46:45,sol,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.05793742757821223,2026-04-16T16:45:00+00:00,0.065,,,0.16,19.75,5.55,3.5585585585585586,aligned,63.8,35.0,1.25,15.0,7.5,5.05,0.0,0.030000000000000027,19.75,5.55,194.478858,loss_cut,0.52,0.52,0.57,0.04999999999999993,-2.465268,,0,0.0,2026-04-16T16:46:50.316772,189.858277,0.64,0.52,2.408416,1,,Lead-lag UP @0.650 vel=0.162%,0.0,0.13,-0.644532,1,1,
2019,2026-04-16,16:46:45,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.66,0.68,0.65,0.66,0.010000000000000009,15.0,15.0,15.0,0,9.9,0.03182399999999999,0.0,2026-04-16T16:45:00+00:00,0.066,,,0.13,2234.4434,963.0182,2.3202504376345123,aligned,62.55,35.0,0.0,15.0,7.5,5.05,0.0,0.020000000000000018,2234.4434,963.0182,194.487376,profit_target,0.71,0.71,0.72,0.010000000000000009,0.28527599999999903,,0,0.0,2026-04-16T16:46:47.967006,192.214693,0.71,0.69,2.413206,1,1,Lead-lag UP @0.660 vel=0.131%,0.04999999999999993,0.0,0.28527599999999903,1,1,
2018,2026-04-16,16:46:44,doge,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.0411861614497512,2026-04-16T16:45:00+00:00,0.065,,,0.3,15.4892,5.55,2.790846846846847,aligned,63.71,35.0,1.25,15.0,7.5,4.96,0.0,0.030000000000000027,15.4892,5.55,195.494473,loss_cut,0.56,0.56,0.62,0.05999999999999994,-1.8618119999999996,,0,0.0,2026-04-16T16:46:50.497565,189.678424,0.67,0.56,3.607363,1,,Lead-lag UP @0.650 vel=0.299%,0.020000000000000018,0.08999999999999997,-0.18448799999999968,1,1,
2017,2026-04-16,16:46:44,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.66,0.68,0.64,0.66,0.020000000000000018,15.0,15.0,15.0,0,9.9,0.03182399999999999,0.0,2026-04-16T16:45:00+00:00,0.066,,,0.14,2984.2934000000005,944.0175999999999,3.1612688153271726,aligned,59.95,35.0,0.0,15.0,5.0,4.95,0.0,0.020000000000000018,2984.2934000000005,944.0175999999999,195.51118,profit_target,0.71,0.71,0.72,0.010000000000000009,0.28527599999999903,,0,0.0,2026-04-16T16:46:48.113706,192.058578,0.71,0.66,3.599572,1,1,Lead-lag UP @0.660 vel=0.137%,0.04999999999999993,0.0,0.28527599999999903,1,1,
2016,2026-04-16,16:46:43,doge,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,doge-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.64,0.65,0.010000000000000009,15.0,15.0,15.0,0,9.75,0.0320472,0.030889621087316976,2026-04-16T16:45:00+00:00,0.065,,,0.29,17.8,6.15,2.8943089430894307,aligned,63.61,35.0,1.25,15.0,7.5,4.86,0.0,0.030000000000000027,17.8,6.15,196.51985,loss_cut,0.53,0.53,0.6,0.06999999999999995,-2.3147279999999997,,0,0.0,2026-04-16T16:46:50.598061,189.582087,0.66,0.53,3.567595,1,,Lead-lag UP @0.650 vel=0.289%,0.010000000000000009,0.12,-0.33805199999999985,1,1,
2015,2026-04-16,16:46:43,sol,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,sol-updown-5m-1776357900,lead_lag,0,0.6,0.6599999999999999,0.57,0.6,0.030000000000000027,16.0,16.0,16.0,0,9.6,0.0334368,0.0,2026-04-16T16:45:00+00:00,0.06,,,0.17,15.25,100.15,0.15227159261108336,aligned,64.86,35.0,7.5,15.0,2.5,4.86,0.0,0.05999999999999994,15.25,100.15,196.529682,loss_cut,0.48,0.48,0.54,0.06000000000000005,-2.4840191999999996,,0,0.0,2026-04-16T16:46:50.604156,189.577208,0.64,0.48,1.202164,1,1,Lead-lag UP @0.600 vel=0.174%,0.040000000000000036,0.12,0.09809920000000061,1,1,
2014,2026-04-16,16:46:42,eth,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,eth-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,-0.02195115652466786,2026-04-16T16:45:00+00:00,0.062,,,0.15,62.775000000000006,57.69949999999999,1.0879643671089005,aligned,76.05,35.0,5.0,15.0,7.5,4.77,8.78,0.05999999999999994,62.775000000000006,57.69949999999999,197.560784,profit_target,0.68,0.68,0.69,0.009999999999999898,0.43791360000000096,,0,0.0,2026-04-16T16:47:01.398570,178.781158,0.68,0.6,18.93702,1,1,Lead-lag UP @0.620 vel=0.148%,0.06000000000000005,0.020000000000000018,0.43791360000000096,1,1,
